field,section,idx,description,include,subsection_descr,placeholder,atc_codes
Intervention,1,83,Transfer,"Moving body tissue, within the same individual, from one site to another; Recession ocular muscles; Repositioning Wharton's duct; Transposition of vocal cords; Switching great arteries; Autotransplantation kidney; Grafting of tissue with/without debridement without fixation device; Using bone autograft, homograft or synthetic tissue to fill bone defect without fixation device; Using bone graft to bone site following debridement/sequestrectomy",,,
Intervention,1,19,Transfusion therapy,Introducing blood or blood components directly into the blood stream; Blood transfusion (autologous or homologous); Exchange transfusion,,,
Intervention,1,85,Transplant,Putting in all or part of a living body site taken from another individual or animal to physically take the place of all or part of a similar body site; Penetrating keratoplasty; Lung transplant (whole lung or lobe of lung); Heart transplant; Kidney transplant,,,
Intervention,1,31,Ventilation,Providing support or assistance in the process of exchange of air within the lungs; Positive pressure mechanical ventilator; Continuous positive airway pressure,,,
Qualifier1,1,AA,using combined endoscopic with vaginal per orifice approach,,,,
Qualifier1,1,AB,using combined open with endoscopic approach,,,,
Qualifier1,1,AC,using combined open abdominal with vaginal per orifice approach,,,,
Qualifier1,1,AD,using combined open abdominal with vaginal per orifice approach for fistula terminating at vagina,,,,
Qualifier1,1,AE,using combined urethral and rectal per orifice approach,,,,
Qualifier1,1,AF,using combined open abdominal and endoscopic transvaginal approach,,,,
Qualifier1,1,AG,using combined endoscopic percutaneous and per orifice approach,,,,
Qualifier1,1,AH,using combined open and endoscopic per orifice approach,,,,
Qualifier1,1,AL,using combined per orifice and percutaneous approach,,,,
Qualifier1,1,AY,using endoscopic per orifice approach terminating at vagin,,,,
Qualifier1,1,AZ,using endoscopic per orifice approach terminating at uterus (or cervix),,,,
Qualifier1,1,BA,using endoscopic per orifice approach,,,,
Qualifier1,1,BB,using endoscopic per orifice approach with continuous technique,,,,
Qualifier1,1,BC,using endoscopic per orifice approach with intermittent technique,,,,
Qualifier1,1,BD,using endoscopic per orifice approach with interstitial technique,,,,
Qualifier1,1,BE,using endoscopic per orifice intracavitarial approach,,,,
Qualifier1,1,BF,using endoscopic per orifice intracervical approach,,,,
Qualifier1,1,BG,using endoscopic per orifice rectal approach,,,,
Qualifier1,1,BH,using endoscopic per orifice approach with self clean technique,,,,
Qualifier1,1,BJ,using endoscopic per orifice urethral approach,,,,
Qualifier1,1,BK,using endoscopic per orifice vaginal approach,,,,
Qualifier1,1,BL,"using endoscopic per orifice vaginal approach, for fistula terminating at vagina",,,,
Qualifier1,1,BM,using endoscopic per orifice approach with coagulum,,,,
Qualifier1,1,BN,endoscopic per orifice approach using circular stapling or suturing technique,,,,
Qualifier1,1,BP,using endoscopic per orifice approach with needle aspiration,,,,
Qualifier1,1,BQ,using endoscopic approach with robotic telemanipulation of tools,,,,
Qualifier1,1,BR,using endoscopic per orifice approach with special excision technique,,,,
Qualifier1,1,BS,using endoscopic per orifice approach with tissue welding technique,,,,
Qualifier1,1,BT,using endoscopic per orifice approach with special incision technique,,,,
Qualifier1,1,BV,using endoscopic per orifice approach with injection,,,,
Qualifier1,1,BW,endoscopic [retrograde] per orifice approach using pancreaticoenterostomy diversion,,,,
Qualifier1,1,BX,endoscopic [retrograde] per orifice approach using pancreaticogastrostomy diversion,,,,
Qualifier1,1,CA,using per orifice approach,,,,
Qualifier1,1,CB,using per orifice approach for ventilation,,,,
Qualifier1,1,CC,using per orifice approach with compression/pressure,,,,
Qualifier1,1,CD,using per orifice pump approach,,,,
Qualifier1,1,CE,using per orifice injection (syringe) approach,,,,
Qualifier1,1,CF,using per orifice drip or instillation approach,,,,
Qualifier1,1,CG,"using per orifice approach,interstitial",,,,
Qualifier1,1,CH,using per orifice approach intracavitarial,,,,
Qualifier1,1,CJ,using per orifice approach with manual technique,,,,
Qualifier1,1,CK,using per orifice approach with mechanical technique,,,,
Qualifier1,1,CM,using per orifice approach with flexible intubating fibroscope,,,,
Qualifier1,1,CN,using per orifice approach with rigid bronchoscope,,,,
Qualifier1,1,CQ,using per orifice needle approach,,,,
Qualifier1,1,CR,using per orifice approach and incision,,,,
Qualifier1,1,DA,using endoscopic approach,,,,
Qualifier1,1,DB,using endoscopic abdominal approach,,,,
Qualifier1,1,DC,using endoscopic abdominal approach with anastomosis at abdominal level,,,,
Qualifier1,1,DD,using endoscopic abdominal approach with anastomosis at cervical level,,,,
Qualifier1,1,DE,using endoscopic approach with anastomosis at colorectal level,,,,
Qualifier1,1,DF,using endoscopic approach with enterocolostomy [or colocolostomy] anastomosis,,,,
Qualifier1,1,DG,using endoscopic approach with enteroenterostomy anastomosis,,,,
Qualifier1,1,DH,using endoscopic approach with gastroduodenal anastomosis,,,,
Qualifier1,1,DI,endoscopic [laparoscopic] approach using gastric bypass technique with enteroenterostomy and biliopancreatic bypass [to terminal ileum] [e.g. duodenal switch],,,,
Qualifier1,1,DJ,using endoscopic approach with gastroduodenal anastomosis and vagotomy,,,,
Qualifier1,1,DK,using endoscopic approach with gastrojejunal anastomosis,,,,
Qualifier1,1,DL,using endoscopic approach with gastrojujenal anastomosis and vagotomy,,,,
Qualifier1,1,DM,using endoscopic approach with aspiration technique,,,,
Qualifier1,1,DN,using endoscopic approach with enterocolostomy [or colocolostomy] bypass technique,,,,
Qualifier1,1,DO,endoscopic [laparoscopic] approach using gastric bypass technique with gastroenterostomy and biliopancreatic bypass [to terminal ileum [e.g. biliopancreatic diversion],,,,
Qualifier1,1,DP,using endoscopic approach with enteroenterostomy bypass technique,,,,
Qualifier1,1,DQ,using endoscopic approach with gastroenterostomy bypass technique,,,,
Qualifier1,1,DR,using endoscopic approach with gastroenterostomy bypass technique and proximal vagotomy,,,,
Qualifier1,1,DS,using endoscopic approach with gastroenterostomy bypass technique and vagotomy [truncal or NOS],,,,
Qualifier1,1,DT,using endoscopic approach with calculi/stone extraction,,,,
Qualifier1,1,DU,using endoscopic approach with calculi/stone extraction by incision,,,,
Qualifier1,1,DV,using endoscopic approach with choledochoenterostomy bypass technique,,,,
Qualifier1,1,DW,using endoscopic approach with circular stapling [fixation] technique,,,,
Qualifier1,1,DX,using endoscopic (laparoscopic) approach with stoma formation and distal closure,,,,
Qualifier1,1,DY,using endoscopic (laparoscopic) approach with stoma formation and creation of mucous fistula,,,,
Qualifier1,1,DZ,using endoscopic approach with esophagoenterostomy technique,,,,
Qualifier1,1,EA,using endoscopic approach with esophagoenterostomy technique and proximal vagotomy,,,,
Qualifier1,1,EB,using endoscopic approach with esophagoenterostomy technique and truncal vagotomy [vagotomy NOS],,,,
Qualifier1,1,EC,using endoscopic approach with exploration,,,,
Qualifier1,1,ED,using endoscopic approach with fixation technique,,,,
Qualifier1,1,EE,using endoscopic approach with hepaticoenterostomy,,,,
Qualifier1,1,EF,using endoscopic approach with manual technique,,,,
Qualifier1,1,EG,using endoscopic approach with pancreaticoenterostomy,,,,
Qualifier1,1,EH,using endoscopic approach with pancreaticogastrostomy,,,,
Qualifier1,1,EI,endoscopic approach using combined techniques,,,,
Qualifier1,1,EJ,using endoscopic approach with tightening technique,,,,
Qualifier1,1,EK,using endoscopic approach with truncal vagotomy [vagotomy NOS],,,,
Qualifier1,1,EL,using endoscopic approach with proximal vagotomy,,,,
Qualifier1,1,EM,using endoscopic approach with/of feeding jejunostomy,,,,
Qualifier1,1,EN,using endoscopic approach with/of ileostomy,,,,
Qualifier1,1,EP,using endoscopic approach with/of terminal colostomy,,,,
Qualifier1,1,EQ,using endoscopic abdominoperineal approach with colorectal [or coloanal] anastomosis,,,,
Qualifier1,1,ER,using endoscopic anterior approach NOS,,,,
Qualifier1,1,ES,using endoscopic extracorporeal approach [bench surgery],,,,
Qualifier1,1,EV,using endoscopic inguinal approach,,,,
Qualifier1,1,EW,using endoscopic interstitial approach,,,,
Qualifier1,1,EX,using endoscopic intracavitarial approach,,,,
Qualifier1,1,EY,"using endoscopic thoracic approach with anastomosis technique, cervical level",,,,
Qualifier1,1,EZ,"using endoscopic thoracic approach, with anastomosis technique, thoracic level",,,,
Qualifier1,1,FA,using combined endoscopic thoracoabdominal approach,,,,
Qualifier1,1,FB,"using endoscopic thoracoabdominal approach with anastomosis technique, abdominal level",,,,
Qualifier1,1,FC,"using endoscopic thoracoabdominal approach with anastomosis technique, thoracic level",,,,
Qualifier1,1,FD,using endoscopic transgluteal approach,,,,
Qualifier1,1,FE,using endoscopic transperitoneal approach,,,,
Qualifier1,1,FF,using endoscopic transrectal [anal] approach,,,,
Qualifier1,1,FG,using endoscopic transrenal [trans-capsular] approach,,,,
Qualifier1,1,FH,using endoscopic transurethral approach,,,,
Qualifier1,1,FJ,using endoscopic transvaginal approach,,,,
Qualifier1,1,FK,using endoscopic transvaginal approach with tissue welding,,,,
Qualifier1,1,FL,using endoscopic transvesical approach,,,,
Qualifier1,1,FM,using endoscopic ureterostomic approach,,,,
Qualifier1,1,FN,using endoscopic approach with coagulum,,,,
Qualifier1,1,FP,using endoscopic approach with debulking,,,,
Qualifier1,1,FQ,using endoscopic approach with destruction,,,,
Qualifier1,1,FR,using endoscopic approach with endarterectomy,,,,
Qualifier1,1,FS,using endoscopic approach with endoureterotomy,,,,
Qualifier1,1,FT,using endoscopic approach with formation of continent catheterizable reservoir,,,,
Qualifier1,1,FU,using endoscopic approach with formation of ileoanal reservoir or neobladder,,,,
Qualifier1,1,FV,using endoscopic approach with formation of neobladder with cutaneous diversion,,,,
Qualifier1,1,FW,using endoscopic approach with ligament resection [or repair],,,,
Qualifier1,1,FY,using endoscopic approach with meniscectomy [or meniscoplasty],,,,
Qualifier1,1,FZ,using endoscopic approach with multiple sites,,,,
Qualifier1,1,GA,using endoscopic approach with placement/implant of stent,,,,
Qualifier1,1,GB,using endoscopic approach with special excision technique,,,,
Qualifier1,1,GC,using endoscopic approach with tenodesis technique,,,,
Qualifier1,1,GD,using endoscopic approach with special incisional technique,,,,
Qualifier1,1,GE,using endoscopic (percutaneous) approach terminating at bladder,,,,
Qualifier1,1,GF,using endoscopic (percutaneous) approach terminating at skin,,,,
Qualifier1,1,GG,using endoscopic (percutaneous) approach terminating at uterus (or cervix),,,,
Qualifier1,1,GH,"using endoscopic (percutaneous) approach terminating in genital tract (vagina, uterus)",,,,
Qualifier1,1,GI,using endoscopic (percutaneous) approach terminating in circulatory system,,,,
Qualifier1,1,GJ,using endoscopic (percutaneous) approach terminating in thoracic cavity,,,,
Qualifier1,1,GK,using endoscopic (percutaneous) approach terminating in site NEC,,,,
Qualifier1,1,GN,using endoscopic (percutaneous) approach terminating at abdominal cavity (digestive tract),,,,
Qualifier1,1,GP,using percutaneous transluminal approach,,,,
Qualifier1,1,GQ,using percutaneous transluminal arterial approach,,,,
Qualifier1,1,GR,using percutaneous transluminal venous approach,,,,
Qualifier1,1,GS,using percutaneous transluminal approach with placement/implant of stent,,,,
Qualifier1,1,GT,using percutaneous transluminal approach with excision technique,,,,
Qualifier1,1,GU,using percutaneous transluminal approach with aspiration technique,,,,
Qualifier1,1,GV,using combined endoscopic with perineal approach with coloanal or ileoanal (anastomosis/ bypass),,,,
Qualifier1,1,GW,using endoscopic approach with esophagoduodenal anastomosis,,,,
Qualifier1,1,GX,using endoscopic approach with esophagogastric anastomosis and vagotomy,,,,
Qualifier1,1,GZ,using endoscopic (arthroscopic) approach with special incisional technique,,,,
Qualifier1,1,H1,using percutaneous approach with erythrocyte removal,,,,
Qualifier1,1,H2,elution from other device,,,,
Qualifier1,1,HA,using percutaneous needle approach [injection],,,,
Qualifier1,1,HB,using percutaneous aspiration technique,,,,
Qualifier1,1,HC,using percutaneous block technique,,,,
Qualifier1,1,HD,using percutaneous continuous flow technique,,,,
Qualifier1,1,HE,using percutaneous infiltration technique,,,,
Qualifier1,1,HG,using percutaneous approach injection local,,,,
Qualifier1,1,HH,using percutaneous transcatheter approach,,,,
Qualifier1,1,HI,using trans-tympanic injection,,,,
Qualifier1,1,HJ,using percutaneous intermittent flow technique,,,,
Qualifier1,1,HK,using percutaneous interstitial approach,,,,
Qualifier1,1,HL,using percutaneous intracavitarial approach,,,,
Qualifier1,1,HM,using percutaneous approach intravenous exchange transfusion technique,,,,
Qualifier1,1,HN,using percutaneous approach multiple site technique,,,,
Qualifier1,1,HO,using percutaneous approach with lymphocyte removal using automated technique,,,,
Qualifier1,1,HP,using percutaneous approach for peritoneal dialysis,,,,
Qualifier1,1,HQ,using percutaneous approach for renal dialysis,,,,
Qualifier1,1,HR,using percutaneous transcatheter intraosseous approach,,,,
Qualifier1,1,HS,using percutaneous approach with blood collection using manual technique,,,,
Qualifier1,1,HT,using percutaneous approach with leukocyte collection using automated technique,,,,
Qualifier1,1,HU,using percutaneous approach with plasma collection using automated technique,,,,
Qualifier1,1,HV,using percutaneous approach with plasma collection using manual technique,,,,
Qualifier1,1,HW,using percutaneous approach with platelet collection using automated technique,,,,
Qualifier1,1,HX,using percutaneous approach with stem cell collection using automated technique,,,,
Qualifier1,1,HY,using percutaneous approach with stereotactic direction,,,,
Qualifier1,1,HZ,elution from implanted device,,,,
Qualifier1,1,JA,using external approach,,,,
Qualifier1,1,JB,using external chiropractic technique,,,,
Qualifier1,1,JC,"External, continuous",,,,
Qualifier1,1,JD,external approach using acupressure technique,,,,
Qualifier1,1,JE,using external forced expulsion,,,,
Qualifier1,1,JF,using external approach with intermittent (manual) technique,,,,
Qualifier1,1,JG,using external approach with intermittent (mechanical) technique,,,,
Qualifier1,1,JH,using external approach with manual technique,,,,
Qualifier1,1,JJ,using external approach with massage technique,,,,
Qualifier1,1,JK,using external approach with mechanical technique,,,,
Qualifier1,1,JL,using external approach with osteopathic technique,,,,
Qualifier1,1,JM,using external approach with percussion technique,,,,
Qualifier1,1,JN,using external approach with pressure [compression] technique,,,,
Qualifier1,1,JP,using external approach with therapeutic touch technique,,,,
Qualifier1,1,JQ,"using external approach with topical (includes spray, brush etc) technique",,,,
Qualifier1,1,JR,using external approach with application to external fixator,,,,
Qualifier1,1,JS,using external approach with application to internal fixator,,,,
Qualifier1,1,JT,using external approach with application to skin fixator,,,,
Qualifier1,1,JU,using external approach with depilation,,,,
Qualifier1,1,JV,using external approach with placement/implant of stent (eye),,,,
Qualifier1,1,JW,using external approach with pressure technique,,,,
Qualifier1,1,JX,using external approach with stabilization technique,,,,
Qualifier1,1,JY,using external approach with manual compression and ventilation,,,,
Qualifier1,1,JZ,using external approach with traction,,,,
Qualifier1,1,KP,using extracorporeal approach with external beam,,,,
Qualifier1,1,KQ,using extracorporeal lithotripsy,,,,
Qualifier1,1,KR,using extracorporeal vibration,,,,
Qualifier1,1,KS,using extracorporeal approach,,,,
Qualifier1,1,KZ,"using open abdominoperineal approach, with coloanal or ileoanal (anastomosis/ bypass)",,,,
Qualifier1,1,LA,using open approach,,,,
Qualifier1,1,LB,using open abdominal approach,,,,
Qualifier1,1,LC,using open abdominal approach for fistula terminating at vagina,,,,
Qualifier1,1,LD,"using open abdominal approach with anastomosis technique, abdominal level",,,,
Qualifier1,1,LE,"using open abdominal approach with anastomosis technique, cervical level",,,,
Qualifier1,1,LF,using open abdominoperineal approach NOS,,,,
Qualifier1,1,LG,using open abdominoperineal approach with colorectal [or coloanal] anastomosis,,,,
Qualifier1,1,LH,using open abdominoperineal approach with colostomy [or ileostomy],,,,
Qualifier1,1,LJ,"using open abdominoperineal approach with colostomy, with urinary diversion",,,,
Qualifier1,1,LK,"using open abdominoperineal approach with continent ileostomy [Kock, Barnett]",,,,
Qualifier1,1,LL,using open anterior approach NOS,,,,
Qualifier1,1,LM,"using open anterior approach, with interfascicular [split] repair technique",,,,
Qualifier1,1,LN,"using open anterior approach, with posterior approach",,,,
Qualifier1,1,LP,using open cervical approach NOS,,,,
Qualifier1,1,LQ,"using open cervical approach with anastomosis technique, cervical level",,,,
Qualifier1,1,LR,using open computer assisted approach,,,,
Qualifier1,1,LU,using open combined transnasal and transcranial approach,,,,
Qualifier1,1,LY,using open cranial base approach NEC,,,,
Qualifier1,1,MA,using open approach for fistula terminating at bladder,,,,
Qualifier1,1,MB,using open approach for fistula terminating at skin,,,,
Qualifier1,1,MC,using open approach for fistula terminating at uterus,,,,
Qualifier1,1,MD,using open approach for fistula terminating at vagina,,,,
Qualifier1,1,ME,using open approach for fistula terminating in abdominal cavity [e.g. digestive or biliary tract],,,,
Qualifier1,1,MF,using open approach for fistula terminating in circulatory system,,,,
Qualifier1,1,MG,using open approach for fistula terminating in face,,,,
Qualifier1,1,MH,using open approach for fistula terminating in genital tract,,,,
Qualifier1,1,MI,using open approach for fistula/shunt terminating in artery of lower limb,,,,
Qualifier1,1,MJ,using open approach for fistula terminating in head and neck,,,,
Qualifier1,1,MK,using open approach for fistula terminating in neck,,,,
Qualifier1,1,ML,using open approach for fistula terminating in nose,,,,
Qualifier1,1,MM,using open approach for fistula terminating in pharynx,,,,
Qualifier1,1,MN,using open approach for fistula terminating in oral cavity,,,,
Qualifier1,1,MO,using open approach for fistula/shunt terminating in vein of lower limb,,,,
Qualifier1,1,MP,using open approach for fistula terminating in site NEC,,,,
Qualifier1,1,MQ,using open approach for fistula terminating in thoracic cavity,,,,
Qualifier1,1,MR,using open approach for fistula terminating in urinary tract,,,,
Qualifier1,1,MS,using open approach with terminating site [fistula] at ear,,,,
Qualifier1,1,MT,using open approach with terminating site [fistula[ travelling through multiple cavities,,,,
Qualifier1,1,MU,using open approach with terminating site [fistula] at abdominal vessels,,,,
Qualifier1,1,MV,using open approach with terminating site [fistula] at subclavian vessel,,,,
Qualifier1,1,MW,using open approach with terminating site [fistula] at other vessels of head and neck,,,,
Qualifier1,1,MX,using open approach with terminating site [fistula] at carotid artery,,,,
Qualifier1,1,MY,using open approach with terminating site [fistula] at upper limb artery,,,,
Qualifier1,1,MZ,using open approach with terminating site [fistula] at vessels of lower limb,,,,
Qualifier1,1,NA,using open approach with terminating site [fistula] at pulmonary artery,,,,
Qualifier1,1,NB,using open approach with terminating site [fistula] at aorta,,,,
Qualifier1,1,NC,using open approach with terminating site [fistula] at upper limb vein,,,,
Qualifier1,1,ND,using open approach with terminating site [fistula] at vena cava,,,,
Qualifier1,1,NF,using open approach with terminating site [fistula] at thoracic vessels,,,,
Qualifier1,1,NG,using incisional approach with drainage into subconjunctival space,,,,
Qualifier1,1,NH,using incisional approach with drainage into Schlemm's canal,,,,
Qualifier1,1,NJ,using incisional approach with drainage into suprachoroidal space,,,,
Qualifier1,1,NL,using open approach with lymphaticovenous or lymphnodal venous shunt,,,,
Qualifier1,1,NM,using open cervical approach with incision,,,,
Qualifier1,1,NP,using open extracapsular approach,,,,
Qualifier1,1,NQ,using open extracorporeal approach [bench surgery],,,,
Qualifier1,1,NR,using open facial recess approach,,,,
Qualifier1,1,NU,using open transpenile approach,,,,
Qualifier1,1,NV,using open intracapsular approach,,,,
Qualifier1,1,NW,using open intrapericardial approach,,,,
Qualifier1,1,NX,using open intrapericardial approach for release of pulmonary vessels,,,,
Qualifier1,1,NY,using open intrapericardial approach with laryngeal release,,,,
Qualifier1,1,NZ,using open lateral neck approach,,,,
Qualifier1,1,PA,using open lingual approach,,,,
Qualifier1,1,PB,using open perineal approach NOS,,,,
Qualifier1,1,PC,"using open perineal approach, with circular stapling [fixation] technique",,,,
Qualifier1,1,PD,"using open perineal approach, with fixation technique",,,,
Qualifier1,1,PE,"using open perineal approach, with plication technique",,,,
Qualifier1,1,PF,using open posterior approach NOS,,,,
Qualifier1,1,PG,"using open posterior approach, with interfascicular [split] repair technique",,,,
Qualifier1,1,PH,using open retrograde approach,,,,
Qualifier1,1,PJ,using open retroperitoneal approach,,,,
Qualifier1,1,PK,using open retropubic approach,,,,
Qualifier1,1,PL,using open retrosigmoid [suboccipital] approach,,,,
Qualifier1,1,PM,using open scrotal approach,,,,
Qualifier1,1,PN,using robotic assisted telemanipulation of tools [telesurgery],,,,
Qualifier1,1,PP,using open transcervical robotic assisted approach,,,,
Qualifier1,1,PQ,using open translabyrinthine robotic assisted approach,,,,
Qualifier1,1,PR,using open transnasal robotic assisted approach,,,,
Qualifier1,1,PS,using open transoral robotic assisted approach,,,,
Qualifier1,1,PW,using open anterior subcostal approach,,,,
Qualifier1,1,PX,using open posterior subcostal approach,,,,
Qualifier1,1,PY,using open transperitoneal subcostal approach,,,,
Qualifier1,1,PZ,using open substernal approach,,,,
Qualifier1,1,QA,using open subxiphoid approach,,,,
Qualifier1,1,QB,using open thoracic approach NOS,,,,
Qualifier1,1,QC,"using open thoracic approach with anastomosis technique, cervical level",,,,
Qualifier1,1,QD,"using open thoracic approach with anastomosis technique, thoracic level",,,,
Qualifier1,1,QE,using open thoracic approach with tracheoesophageal fistula repair technique,,,,
Qualifier1,1,QF,using open thoracoabdominal approach,,,,
Qualifier1,1,QG,"using open thoracoabdominal approach with anastomosis technique, abdominal level",,,,
Qualifier1,1,QH,"using open thoracoabdominal approach with anastomosis technique, thoracic level",,,,
Qualifier1,1,QJ,using open thoracoabdominal approach with tracheoesophageal fistula repair technique,,,,
Qualifier1,1,QK,using open transaortic approach,,,,
Qualifier1,1,QL,using open transcapsular approach,,,,
Qualifier1,1,QM,"using open transcapsular approach, with coagulum",,,,
Qualifier1,1,QN,using open transcervical approach,,,,
Qualifier1,1,QP,using open transfrontal approach,,,,
Qualifier1,1,QQ,using open translabyrinthine approach,,,,
Qualifier1,1,QR,using open transmastoid approach [mastoidectomy],,,,
Qualifier1,1,QS,using open transnasal approach,,,,
Qualifier1,1,QT,using open transoral approach,,,,
Qualifier1,1,QU,using open transperineal approach,,,,
Qualifier1,1,QV,using open transpleural approach,,,,
Qualifier1,1,QW,using open transrenal pelvis approach,,,,
Qualifier1,1,QX,using open transthoracic approach,,,,
Qualifier1,1,QY,using open transvaginal approach,,,,
Qualifier1,1,QZ,using open transvesical approach,,,,
Qualifier1,1,RA,using open vaginal approach,,,,
Qualifier1,1,RB,"using open vaginal approach for fistula terminating in genital tract (vagina, uterus)",,,,
Qualifier1,1,RC,using open approach with adjustable suture technique,,,,
Qualifier1,1,RD,"using open approach with anastomosis technique, colorectal [or coloanal]",,,,
Qualifier1,1,RE,"using open approach with anastomosis technique, enterocolostomy [or colocolostomy]",,,,
Qualifier1,1,RF,"using open approach with anastomosis technique, enteroenterostomy",,,,
Qualifier1,1,RG,"using open approach with anastomosis technique, gastroduodenal",,,,
Qualifier1,1,RH,"using open approach with anastomosis technique, gastroduodenal, with vagotomy",,,,
Qualifier1,1,RJ,"using open approach with anastomosis technique, gastroenteral",,,,
Qualifier1,1,RK,"using open approach with anastomosis technique, gastroenteral, with vagotomy",,,,
Qualifier1,1,RL,using open approach with anterior female pelvic exenteration,,,,
Qualifier1,1,RM,"using open approach with anterior female pelvic exenteration, with vaginal reconstruction",,,,
Qualifier1,1,RN,using open approach with/of colocolostomy [diversionary],,,,
Qualifier1,1,RP,using open approach with/of enteroenterostomy [or enterocolostomy],,,,
Qualifier1,1,RQ,using open approach with/of feeding jejunostomy,,,,
Qualifier1,1,RR,using open approach with/of ileostomy,,,,
Qualifier1,1,RS,using open approach with/of terminal colostomy,,,,
Qualifier1,1,RT,using open approach with arcuate incision,,,,
Qualifier1,1,RU,using open approach with arthrectomy,,,,
Qualifier1,1,RV,using open approach with arthroplasty,,,,
Qualifier1,1,RW,using open approach with aspiration technique,,,,
Qualifier1,1,RX,using open approach with atriopulmonary connection,,,,
Qualifier1,1,RY,using open approach with atriopulmonary connection,,,,
Qualifier1,1,RZ,using open approach with attachment of muscles,,,,
Qualifier1,1,SA,using open approach with baffle technique,,,,
Qualifier1,1,SB,using open approach with bidirectional cavopulmonary anastomosis,,,,
Qualifier1,1,SC,using open approach with bilateral fusion technique,,,,
Qualifier1,1,SD,using open approach with bilateral transsternal anterior thoracotomy,,,,
Qualifier1,1,SE,using open approach with burr hole technique,,,,
Qualifier1,1,SF,"using open approach with bypass technique, enterocolostomy [or colocolostomy]",,,,
Qualifier1,1,SG,"using open approach with bypass technique, enteroenterostomy",,,,
Qualifier1,1,SH,"using open approach with bypass technique, gastroenterostomy",,,,
Qualifier1,1,SI,open approach using gastric bypass technique with enteroenterostomy and biliopancreatic bypass [to terminal ileum] [e.g. duodenal switch],,,,
Qualifier1,1,SJ,"using open approach with bypass technique, gastroenterostomy, with biliopancreatic",,,,
Qualifier1,1,SK,"using open approach with bypass technique, gastroenterostomy, with proximal vagotomy",,,,
Qualifier1,1,SL,"using open approach with bypass technique, gastroenterostomy, with vagotomy NEC [truncal or NOS]",,,,
Qualifier1,1,SM,using open approach with calculi/stone extraction,,,,
Qualifier1,1,SN,"using open approach with calculi/stone extraction, with incision",,,,
Qualifier1,1,SP,using open approach with capsulectomy,,,,
Qualifier1,1,SQ,using open approach with chest wall [subcutaneous] tunnel exteriorization technique,,,,
Qualifier1,1,SR,using open approach with choledochoenterostomy,,,,
Qualifier1,1,SS,using open approach with circular stapling [fixation] technique,,,,
Qualifier1,1,ST,using open approach with closed heart technique,,,,
Qualifier1,1,SU,using open approach with coagulum,,,,
Qualifier1,1,SV,using open approach with colostomy [or ileostomy],,,,
Qualifier1,1,SW,"using open approach with colostomy, with urinary diversion",,,,
Qualifier1,1,SX,using open approach with columellar incision technique,,,,
Qualifier1,1,SY,open approach and percutaneous transluminal approach,,,,
Qualifier1,1,SZ,using open approach with craniotomy flap technique,,,,
Qualifier1,1,TA,using open approach with debulking,,,,
Qualifier1,1,TB,using open approach with dilation technique,,,,
Qualifier1,1,TC,using open approach with end cervical exteriorization technique,,,,
Qualifier1,1,TD,using open approach with endarterectomy,,,,
Qualifier1,1,TE,using open approach with endoureterotomy,,,,
Qualifier1,1,TF,using open approach with stoma formation and distal closure,,,,
Qualifier1,1,TG,using open approach with stoma formation and creation of mucous fistula,,,,
Qualifier1,1,TH,using open approach with esophagoenterostomy technique,,,,
Qualifier1,1,TJ,"using open approach with esophagoenterostomy technique, with proximal vagotomy",,,,
Qualifier1,1,TK,"using open approach with esophagoenterostomy technique, with vagotomy NEC [truncal, NOS]",,,,
Qualifier1,1,TL,using open approach with exocrine drainage via bladder,,,,
Qualifier1,1,TM,using open approach with exocrine drainage via intestine,,,,
Qualifier1,1,TN,using open approach with exocrine suppression,,,,
Qualifier1,1,TP,using open approach with exploration,,,,
Qualifier1,1,TQ,using open approach with extended end to end anastomosis,,,,
Qualifier1,1,TR,using open approach with extended radical excision,,,,
Qualifier1,1,TS,using open approach with extension key technique,,,,
Qualifier1,1,TT,using open approach with extracardiac cavopulmonary connection,,,,
Qualifier1,1,TU,using open approach with extracardiac conduit,,,,
Qualifier1,1,TV,using open approach with fixation technique,,,,
Qualifier1,1,TW,using open approach with fixation technique [posterior],,,,
Qualifier1,1,TX,using open approach with fixation to floor of mouth technique,,,,
Qualifier1,1,TY,using open approach with fixation to lower lip technique,,,,
Qualifier1,1,TZ,using open approach with formation of continent catheterizable reservoir,,,,
Qualifier1,1,UA,using open approach with formation of ileoanal reservoir or neobladder,,,,
Qualifier1,1,UB,using open approach with formation of neobladder with cutaneous diversion,,,,
Qualifier1,1,UC,using open approach with free nipple graft technique,,,,
Qualifier1,1,UD,using open approach with full thickness excision,,,,
Qualifier1,1,UE,using open approach with functional neck dissection,,,,
Qualifier1,1,UF,using open approach with hepaticoenterostomy,,,,
Qualifier1,1,UG,using open approach with implantation of ovary into uterus,,,,
Qualifier1,1,UH,using open approach with interfascicular [split] repair technique,,,,
Qualifier1,1,UJ,using open approach with intraventricular tunnel with extracardiac conduit,,,,
Qualifier1,1,UK,using open approach with intrascleral thermosclerostomy,,,,
Qualifier1,1,UL,using open approach with intraventricular tunnel,,,,
Qualifier1,1,UM,using open approach with laryngeal release,,,,
Qualifier1,1,UO,using open approach with ectropion repair,,,,
Qualifier1,1,UP,using open approach with levator muscle advancement,,,,
Qualifier1,1,UQ,using open approach with ligament resection [or repair],,,,
Qualifier1,1,UR,using open approach with ligature dissection technique,,,,
Qualifier1,1,US,using open approach with liposuction,,,,
