CCI_code,CCI_description
1NA59BAAD,"Destruction, esophagus using endoscopic per orifice approach and cryoprobe"
1NA59BAAG,"Destruction, esophagus using endoscopic per orifice approach and laser"
1NA59BAAW,"Destruction, esophagus using endoscopic per orifice approach and radiofrequency"
1NA59BAGX,"Destruction, esophagus using endoscopic per orifice approach and device NEC"
1NA59BAX7,"Destruction, esophagus using endoscopic per orifice approach and chemical cautery agent [e.g. ethanol, adrenaline, hypertonic solution]"
1NA72DB,"Release, esophagus using endoscopic abdominal approach"
1NA72EZ,"Release, esophagus using endoscopic thoracic approach"
1NA72LB,"Release, esophagus using open abdominal approach"
1NA72LP,"Release, esophagus using open cervical approach"
1NA72QB,"Release, esophagus using open thoracic approach"
1NA74BA,"Fixation, esophagus using endoscopic [per orifice] approach"
1NA74LP,"Fixation, esophagus using open (cervical) approach"
1NA76QD,"Bypass, esophagus thoracic approach [may include cervical with thoracic approach] esophagoesophagostomy"
1NA76QG,"Bypass, esophagus thoraco-abdominal approach [may include cervical with thoraco-abdominal approach] esophagogastrostomy"
1NA76QH,"Bypass, esophagus thoraco-abdominal approach [may include cervical with thoraco-abdominal approach] esophagoesophagostomy"
1NA77SQ,"Bypass with exteriorization, esophagus using chest wall [subcutaneous] tunnel exteriorization technique"
1NA77TC,"Bypass with exteriorization, esophagus using end cervical exteriorization technique"
1NA80BA,"Repair, esophagus using apposition technique [e.g. suturing] for closure using endoscopic per orifice approach"
1NA80DB,"Repair, esophagus using apposition technique [e.g. suturing] for closure using endoscopic abdominal approach [includes: open cervical with laparoscopic approach]"
1NA80DBXXE,"Repair, esophagus using local transposition flap [e.g. gastric fundus wrap, fundoplication] for closure using endoscopic abdominal approach [includes: open cervical with laparoscopic approach]"
1NA80DBXXF,"Repair, esophagus using free flap [e.g. free muscle or interpositional intestinal flap] for closure using endoscopic abdominal approach [includes: open cervical with laparoscopic approach]"
1NA80EZ,"Repair, esophagus using apposition technique [e.g. suturing] for closure using endoscopic thoracic approach [thoracoscopic, cervical with thoracoscopic]"
1NA80EZXXE,"Repair, esophagus using local transposition flap [e.g. gastric fundus wrap, fundoplication] for closure using endoscopic thoracic approach [thoracoscopic, cervical with thoracoscopic]"
1NA80FA,"Repair, esophagus using apposition technique [e.g. suturing] for closure using combined endoscopic thoraco-abdominal approach"
1NA80FAXXE,"Repair, esophagus using local transposition flap [e.g. gastric fundus wrap, fundoplication] for closure using combined endoscopic thoraco-abdominal approach"
1NA80FAXXF,"Repair, esophagus using free flap [e.g. free muscle or interpositional intestinal flap] for closure using combined endoscopic thoraco-abdominal approach"
1NA80FAXXG,"Repair, esophagus using pedicled flap [e.g. pleura, diaphragm, pericardium] for closure using combined endoscopic thoraco-abdominal approach"
1NA80LB,"Repair, esophagus using apposition technique [e.g. suturing] for closure using open abdominal approach [includes: cervical with abdominal approach, transhiatal approach]"
1NA80LBXXE,"Repair, esophagus using local transposition flap [e.g. gastric fundus wrap, fundoplication] for closure using open abdominal approach [includes: cervical with abdominal approach, transhiatal approach]"
1NA80LBXXF,"Repair, esophagus using free flap [e.g. free muscle or interpositional intestinal flap] for closure using open abdominal approach [includes: cervical with abdominal approach, transhiatal approach]"
1NA80LP,"Repair, esophagus using apposition technique [e.g. suturing] for closure using open cervical approach"
1NA80LPXXF,"Repair, esophagus using free flap [e.g. free muscle or interpositional intestinal flap] for closure using open cervical approach"
1NA80QB,"Repair, esophagus using apposition technique [e.g. suturing] for closure using open thoracic approach [includes: open cervicothoracic approach]"
1NA80QBXXE,"Repair, esophagus using local transposition flap [e.g. gastric fundus wrap, fundoplication] for closure using open thoracic approach [includes: open cervicothoracic approach]"
1NA80QBXXF,"Repair, esophagus using free flap [e.g. free muscle or interpositional intestinal flap] for closure using open thoracic approach [includes: open cervicothoracic approach]"
1NA80QBXXG,"Repair, esophagus using pedicled flap [e.g. pleura, diaphragm, pericardium] for closure using open thoracic approach [includes: open cervicothoracic approach]"
1NA80QG,"Repair, esophagus using apposition technique [e.g. suturing] for closure using combined open thoraco-abdominal approach (includes: open cervical with thoraco-abdominal approach)"
1NA80QGXXE,"Repair, esophagus using local transposition flap [e.g. gastric fundus wrap, fundoplication] for closure using combined open thoraco-abdominal approach (includes: open cervical with thoraco-abdominal approach)"
1NA80QGXXF,"Repair, esophagus using free flap [e.g. free muscle or interpositional intestinal flap] for closure using combined open thoraco-abdominal approach (includes: open cervical with thoraco-abdominal approach)"
1NA80QGXXG,"Repair, esophagus using pedicled flap [e.g. pleura, diaphragm, pericardium] for closure using combined open thoraco-abdominal approach (includes: open cervical with thoraco-abdominal approach)"
1NA82QG,"Reattachment, esophagus of esophagogastrostomy"
1NA82SQ,"Reattachment, esophagus of chest wall esophagostomy"
1NA82TC,"Reattachment, esophagus of end cervical esophagostomy"
1NA82TH,"Reattachment, esophagus of esophagoenterostomy"
1NA84QB,"Construction or reconstruction, esophagus without tracheoesophageal fistula repair[e.g. abdominal esophagus absent] Open thoracic approach"
1NA84QE,"Construction or reconstruction, esophagus with tracheoesophageal fistula repair open thoracic approach"
1NA84QF,"Construction or reconstruction, esophagus without tracheoesophageal fistula repair[e.g. abdominal esophagus absent] Open thoraco-abdominal approach"
1NA84QJ,"Construction or reconstruction, esophagus with tracheoesophageal fistula repair open thoraco-abdominal approach"
1NA86MB,"Closure of fistula, esophagus with simple excision [with or without closure] for fistula terminating at skin (e.g. esophagocutaneous, esophagopleurocutaneous) [subcutaneous tissue]"
1NA86MBXXA,"Closure of fistula, esophagus using autograft [e.g. skin, fascia graft] for fistula terminating at skin (e.g. esophagocutaneous, esophagopleurocutaneous) [subcutaneous tissue]"
1NA86MBXXF,"Closure of fistula, esophagus using free flap [e.g. free muscle or intestinal interpositional flap] for fistula terminating at skin  (esophagocutaneous, esophagopleurocutaneous) [subcutaneous tissue]"
1NA86MBXXG,"Closure of fistula, esophagus using pedicled flap [e.g. pleural or muscle flap] for fistula terminating at skin (e.g. esophagocutaneous, esophagopleurocutaneous) [subcutaneous tissue]"
1NA86ME,"Closure of fistula, esophagus with simple excision [with or without closure] for fistula terminating in abdominal cavity"
1NA86MEXXA,"Closure of fistula, esophagus using autograft [e.g. skin, fascia graft] for fistula terminating in abdominal cavity"
1NA86MEXXF,"Closure of fistula, esophagus using free flap [e.g. free muscle or intestinal interpositional flap] for fistula terminating in abdominal cavity"
1NA86MEXXG,"Closure of fistula, esophagus using pedicled flap [e.g. pleural or muscle flap] for fistula terminating in abdominal cavity"
1NA86MT,"Closure of fistula, esophagus with simple excision [with or without closure] for fistula travelling through multiple cavities and terminating in any organ(s) or at skin"
1NA86MTXXA,"Closure of fistula, esophagus using autograft [e.g. skin, fascia graft] for fistula travelling through multiple cavities and terminating in any organ(s) or at skin"
1NA86MTXXF,"Closure of fistula, esophagus using free flap [e.g. free muscle or intestinal interpositional flap] for fistula travelling through multiple cavities and terminating in any organ(s) or at skin"
1NA86MTXXG,"Closure of fistula, esophagus using pedicled flap [e.g. pleural or muscle flap] for fistula travelling through multiple cavities and terminating in any organ(s) or at skin"
1NA87BA,"Excision partial, esophagus no rejoining required using endoscopic per orifice [pull through] approach"
1NA87DA,"Excision partial, esophagus with anastomosis using endoscopic [thoracic, abdominal] approach"
1NA87DAXXF,"Excision partial, esophagus with interpositional (intestine) flap using endoscopic [thoracic, abdominal] approach"
1NA87DAXXG,"Excision partial, esophagus with gastric pull up using endoscopic [thoracic, abdominal] approach"
1NA87LB,"Excision partial, esophagus with anastomosis using open cervical with abdominal [transhiatal] approach"
1NA87LBXXF,"Excision partial, esophagus with interpositional (intestine) flap using open cervical with abdominal [transhiatal] approach"
1NA87LBXXG,"Excision partial, esophagus with gastric pull up using open cervical with abdominal [transhiatal] approach"
1NA87LP,"Excision partial, esophagus with anastomosis using open cervical approach"
1NA87QB,"Excision partial, esophagus with anastomosis using open thoracic approach [e.g. cervicothoracic approach]"
1NA87QBXXF,"Excision partial, esophagus with interpositional (intestine) flap using open thoracic approach [e.g. cervicothoracic approach]"
1NA87QBXXG,"Excision partial, esophagus with gastric pull up using open thoracic approach [e.g. cervicothoracic approach]"
1NA87QF,"Excision partial, esophagus with anastomosis using combined open (cervico)thoracoabdominal [e.g. Ivor-Lewis, 3-field] approach"
1NA87QFXXF,"Excision partial, esophagus with interpositional (intestine) flap using combined open (cervico)thoracoabdominal [e.g. Ivor-Lewis, 3-field] approach"
1NA87QFXXG,"Excision partial, esophagus with gastric pull up using combined open (cervico)thoracoabdominal [e.g. Ivor-Lewis, 3-field] approach"
1NA89DA,"Excision total, esophagus using endoscopic [thoracic, abdominal] approach with anastomosis"
1NA89DAXXF,"Excision total, esophagus using endoscopic [thoracic, abdominal] approach with interpositional (intestine) flap"
1NA89DAXXG,"Excision total, esophagus using endoscopic [thoracic, abdominal] approach with gastric pull up"
1NA89LB,"Excision total, esophagus using open cervical with abdominal [transhiatal] approach with anastomosis"
1NA89LBXXF,"Excision total, esophagus using open cervical with abdominal [transhiatal] approach with interpositional (intestine) flap"
1NA89LBXXG,"Excision total, esophagus using open cervical with abdominal [transhiatal] approach with gastric pull up"
1NA89QF,"Excision total, esophagus using combined open (cervico)thoracoabdominal [e.g. Ivor Lewis, 3-field] approach with anastomosis"
1NA89QFXXF,"Excision total, esophagus using combined open (cervico)thoracoabdominal [e.g. Ivor Lewis, 3-field] approach with interpositional (intestine) flap"
1NA89QFXXG,"Excision total, esophagus using combined open (cervico)thoracoabdominal [e.g. Ivor Lewis, 3-field] approach with gastric pull up"
1NA91DA,"Excision radical, esophagus using endoscopic [thoracic, abdominal] approach with anastomosis"
1NA91DAXXF,"Excision radical, esophagus using endoscopic [thoracic, abdominal] approach with interpositional (intestine) flap"
1NA91DAXXG,"Excision radical, esophagus using endoscopic [thoracic, abdominal] approach with gastric pull up"
1NA91LB,"Excision radical, esophagus using open cervical with abdominal [transhiatal] approach with anastomosis"
1NA91LBXXF,"Excision radical, esophagus using open cervical with abdominal [transhiatal] approach with interpositional (intestine) flap"
1NA91LBXXG,"Excision radical, esophagus using open cervical with abdominal [transhiatal] approach with gastric pull up"
1NA91QF,"Excision radical, esophagus using combined open (cervico)thoracoabdominal [e.g. Ivor Lewis, 3-field] approach with anastomosis"
1NA91QFXXF,"Excision radical, esophagus using combined open (cervico)thoracoabdominal [e.g. Ivor Lewis, 3-field] approach with interpositional (intestine) flap"
1NA91QFXXG,"Excision radical, esophagus using combined open (cervico)thoracoabdominal [e.g. Ivor Lewis, 3-field] approach with gastric pull up"
1NE35BAL7,"Pharmacotherapy (local), pylorus of bacterial toxin [e.g. botulinum toxin or Botox] using endoscopic per orifice approach"
1NE50BA,"Dilation, pylorus endoscopic per orifice approach without concomitant vagotomy"
1NE50DA,"Dilation, pylorus endoscopic [laparoscopic] approach without concomitant vagotomy"
1NE50EK,"Dilation, pylorus endoscopic [laparoscopic] approach with truncal vagotomy [includes: vagotomy NOS]"
1NE50EL,"Dilation, pylorus endoscopic [laparoscopic] approach with proximal gastric vagotomy[includes: parietal cell, highly selective vagotomy]"
1NE50LA,"Dilation, pylorus open approach without concomitant vagotomy"
1NE50VY,"Dilation, pylorus open approach with proximal gastric vagotomy[includes: parietal cell, highly selective vagotomy]"
1NE50XN,"Dilation, pylorus open approach with truncal vagotomy [includes: vagotomy NOS]"
1NE72DA,"Release, pylorus endoscopic [laparoscopic] approach without concomitant vagotomy"
1NE72EK,"Release, pylorus endoscopic [laparoscopic] approach with truncal vagotomy  ["
1NE72EL,"Release, pylorus endoscopic [laparoscopic] approach with proximal gastric vagotomy[includes:  parietal cell, highly selective vagotomy]"
1NE72LA,"Release, pylorus open approach without concomitant vagotomy"
1NE72VY,"Release, pylorus open approach with proximal gastric vagotomy[includes:  parietal cell, highly selective vagotomy]"
1NE72XN,"Release, pylorus open approach with truncal vagotomy  ["
1NE80DA,"Repair, pylorus endoscopic [laparoscopic] approach without concomitant vagotomy"
1NE80EK,"Repair, pylorus endoscopic [laparoscopic] approach with truncal vagotomy [includes: vagotomy NOS]"
1NE80EL,"Repair, pylorus endoscopic [laparoscopic] approach with proximal gastric vagotomy [includes:  parietal cell, highly selective vagotomy]"
1NE80LA,"Repair, pylorus open approach without concomitant vagotomy"
1NE80VY,"Repair, pylorus open approach with proximal gastric vagotomy [includes: parietal cell, highly selective vagotomy]"
1NE80XN,"Repair, pylorus open approach with truncal vagotomy [includes: vagotomy NOS]"
1NF06CAT9,"Hypothermy, stomach using per orifice approach and pharmacological agent NEC"
1NF13BA,"Control of bleeding, stomach using endoscopic per orifice approach"
1NF13BAAG,"Control of bleeding, stomach using endoscopic per orifice approach and laser"
1NF13BABD,"Control of bleeding, stomach using endoscopic per orifice approach and balloon dilator (tamponade)"
1NF13BAC2,"Control of bleeding, stomach using endoscopic per orifice approach and antihemorrhagic agent"
1NF13BAFA,"Control of bleeding, stomach using endoscopic per orifice approach and banding (varices)"
1NF13BAGX,"Control of bleeding, stomach using endoscopic per orifice approach and device NEC [e.g. electrocautery, endoclips]"
1NF13BAKK,"Control of bleeding, stomach using endoscopic per orifice approach and special electrical heat device [e.g. argon beam coagulator, gold probe]"
1NF13BAW4,"Control of bleeding, stomach using endoscopic per orifice approach and glue [e.g. superglue, Histocryl]"
1NF13BAX7,"Control of bleeding, stomach using endoscopic per orifice approach and chemical agent [e.g. ethanol, adrenaline, hypertonic solution, Scleromate, ethanolamine, morrhuate sodium, polidocanol, sclerosants, tetradecyl sulfate]"
1NF13GQC2,"Control of bleeding, stomach using percutaneous transluminal (arterial) approach and antihemorrhagic agent"
1NF13GQGE,"Control of bleeding, stomach using percutaneous transluminal (arterial)  approach and [detachable] coils"
1NF13GQW0,"Control of bleeding, stomach using percutaneous transluminal (arterial) approach and other synthetic agent [e.g. gelfoam, polyvinyl chloride, polystyrene particles, contour particles]"
1NF13LA,"Control of bleeding, stomach using open approach (for devascularization)"
1NF27JA,"Radiation, stomach using external beam"
1NF27JX,"Radiation, stomach using focused beam [e.g. gamma knife, cyber knife stereotactic radiosurgery]"
1NF35CAD1,"Pharmacotherapy (local), stomach using per orifice (or nasogastric tube) approach and antiinfective irrigating solution"
1NF35CAD2,"Pharmacotherapy (local), stomach using per orifice (or nasogastric tube) approach and salt irrigating solution"
1NF35CAD3,"Pharmacotherapy (local), stomach using per orifice (or nasogastric tube) approach and other irrigating solution"
1NF35CAT2,"Pharmacotherapy (local), stomach using per orifice (or nasogastric tube) approach and other therapeutic product [e.g. ipecac]"
1NF35CAT9,"Pharmacotherapy (local), stomach using per orifice (or nasogastric tube) approach and pharmacological agent NEC"
1NF35CAW7,"Pharmacotherapy (local), stomach using per orifice (or nasogastric tube) approach and adsorbent agent (e.g. charcoal)"
1NF38JAQN,"Management of external appliance, stomach of suction pump"
1NF50BABL,"Dilation, stomach using endoscopic per orifice approach and balloon (hydrostatic)"
1NF50BABP,"Dilation, stomach using endoscopic per orifice approach and rigid dilator"
1NF52CAQN,"Drainage, stomach using per orifice approach and mechanical suction pump"
1NF52CATL,"Drainage, stomach using per orifice approach and manual suction (e.g. syringe)"
1NF53BABC,"Implantation of internal device, stomach using endoscopic per orifice approach of pneumatic balloon"
1NF53BAES,"Implantation of internal device, stomach using endoscopic per orifice approach of barrier device [e.g. ValenTx implantable device]"
1NF53BTQB,"Implantation of internal device, stomach of (gastric) valved tube using per orifice endoscopic approach with percutaneous incision"
1NF53BTTS,"Implantation of internal device, stomach of (gastric) tube using per orifice endoscopic approach with percutaneous incision"
1NF53CATS,"Implantation of internal device, stomach of gastric tube [e.g. nasogastric feeding tube] using per orifice approach"
1NF53DAQB,"Implantation of internal device, stomach of (gastric) valved tube using endoscopic (laparoscopic) approach"
1NF53DATS,"Implantation of internal device, stomach of (gastric) tube using endoscopic (laparoscopic) approach"
1NF53HATS,"Implantation of internal device, stomach of (gastric) tube using percutaneous approach"
1NF53LAQB,"Implantation of internal device, stomach of (gastric) valved tube using open (laparotomy) approach"
1NF53LATS,"Implantation of internal device, stomach of (gastric) tube using open (laparotomy) approach"
1NF54BABC,"Management of internal device, stomach of pneumatic intragastric balloon using endoscopic per orifice approach"
1NF54BAFA,"Management of internal device, stomach of encirclage device (e.g. gastric band) using endoscopic per orifice approach"
1NF54HAFA,"Management of internal device, stomach of encirclage device (e.g. gastric band with port) using percutaneous (needle) approach"
1NF54HAQB,"Management of internal device, stomach of percutaneously inserted valved tube"
1NF54HATS,"Management of internal device, stomach of percutaneously inserted gastric tube [PEG]"
1NF54JATS,"Management of internal device, stomach of nasogastric tube (indwelling)"
1NF55BABC,"Removal of device, stomach of pneumatic intragastric balloon using endoscopic per orifice approach"
1NF55BAES,"Removal of device, stomach of barrier device [e.g. ValenTx implantable device] using endoscopic per orifice approach"
1NF55BATS,"Removal of device, stomach of gastric tube [e.g. PEG feeding tube, gastrostomy tube] using endoscopic per orifice approach"
1NF55CATS,"Removal of device, stomach of gastric tube [e.g. feeding or drainage] using per orifice approach"
1NF55DAFA,"Removal of device, stomach of encirclage device NEC (e.g. gastric band with port) using endoscopic [laparoscopic] approach"
1NF55HATS,"Removal of device, stomach of gastric tube [e.g. drainage tube] using percutaneous approach"
1NF55JATS,"Removal of device, stomach of gastric tube [e.g. drainage] using external (manual) approach"
1NF55LAFA,"Removal of device, stomach of encirclage device NEC (e.g. gastric band with port) using open approach"
1NF55LAGX,"Removal of device, stomach of device NEC using open approach"
1NF56BA,"Removal of foreign body, stomach endoscopic per orifice approach removal with or without apposition [e.g. sutures]"
1NF56DA,"Removal of foreign body, stomach endoscopic [abdominal] approach removal with or without apposition [e.g. sutures]"
1NF56DAXXE,"Removal of foreign body, stomach endoscopic [abdominal] approach removal with local transposition flap[e.g. omental patch]"
1NF56DAXXN,"Removal of foreign body, stomach endoscopic [abdominal] approach removal with synthetic tissue repair[e.g. mesh, sponge, gortex]"
1NF56LA,"Removal of foreign body, stomach open approach removal with or without apposition [e.g. sutures]"
1NF56LAXXE,"Removal of foreign body, stomach open approach removal with local transposition flap[e.g. omental patch]"
1NF56LAXXN,"Removal of foreign body, stomach open approach removal with synthetic tissue repair[e.g. mesh, sponge, gortex]"
1NF59BAAW,"Destruction, stomach using endoscopic per orifice approach and radiofrequency"
1NF59BAGX,"Destruction, stomach using endoscopic per orifice approach and device NEC"
1NF73BA,"Reduction, stomach using endoscopic per orifice approach"
1NF73DA,"Reduction, stomach using endoscopic [laparoscopic] approach"
1NF73LA,"Reduction, stomach using open approach"
1NF74DA,"Fixation, stomach using endoscopic [laparoscopic] approach"
1NF74LA,"Fixation, stomach using open approach"
1NF76DQ,"Bypass, stomach endoscopic [laparoscopic] approach gastroenterostomy [diversion around distal stomach]"
1NF76DZ,"Bypass, stomach endoscopic [laparoscopic] approach esophagoenterostomy NEC"
1NF76EA,"Bypass, stomach endoscopic [laparoscopic] approach esophagoenterostomy with proximal gastric vagotomy[includes:  parietal cell, highly selective vagotomy]"
1NF76EB,"Bypass, stomach endoscopic [laparoscopic] approach esophagoenterostomy with truncal vagotomy[includes:  vagotomy NOS]"
1NF76GW,"Bypass, stomach endoscopic [laparoscopic] approach esophagoduodenostomy"
1NF76RJ,"Bypass, stomach open approach gastroenterostomy [diversion around distal stomach]"
1NF76SG,"Bypass, stomach open approach esophagoduodenostomy"
1NF76TH,"Bypass, stomach open approach esophagoenterostomy NEC"
1NF76TJ,"Bypass, stomach open approach esophagoenterostomy with proximal gastric vagotomy [includes:  parietal cell, highly selective vagotomy]"
1NF76TK,"Bypass, stomach open approach esophagoenterostomy with truncal vagotomy [includes:  vagotomy NOS]"
1NF78BN,"Repair by decreasing size, stomach endoscopic per orifice approach using circular stapling or suturing [plication] technique"
1NF78DI,"Repair by decreasing size, stomach endoscopic [laparoscopic] approach using gastric bypass technique with enteroenterostomy and biliopancreatic bypass [to terminal ileum] [e.g. duodenal switch]"
1NF78DO,"Repair by decreasing size, stomach endoscopic [laparoscopic] approach using gastric bypass technique with gastroenterostomy and biliopancreatic bypass [to terminal ileum [e.g. biliopancreatic diversion]"
1NF78DQ,"Repair by decreasing size, stomach endoscopic [laparoscopic] approach using gastric bypass technique with gastroenterostomy [e.g. Roux-en-Y]"
1NF78DW,"Repair by decreasing size, stomach endoscopic [laparoscopic] approach using circular stapling or suturing [plication] technique"
1NF78EI,"Repair by decreasing size, stomach endoscopic [laparoscopic] approach using combined techniques [e.g. adjustable banding technique and plication]"
1NF78EJ,"Repair by decreasing size, stomach endoscopic [laparoscopic] approach using adjustable banding technique"
1NF78GB,"Repair by decreasing size, stomach endoscopic [laparoscopic] approach using vertical (sleeve) gastrectomy technique"
1NF78SH,"Repair by decreasing size, stomach open approach using gastric bypass technique with gastroenterostomy [e.g. Roux-en-Y]"
1NF78SI,"Repair by decreasing size, stomach open approach using gastric bypass technique with enteroenterostomy and biliopancreatic bypass [to terminal ileum] [e.g. duodenal switch]"
1NF78SJ,"Repair by decreasing size, stomach open approach using gastric bypass technique with gastroenterostomy and biliopancreatic bypass [to terminal ileum] [e.g. biliopancreatic diversion]"
1NF78VT,"Repair by decreasing size, stomach open approach using circular stapling or suturing [plication] technique"
1NF78WJ,"Repair by decreasing size, stomach open approach using vertical (sleeve) gastrectomy technique"
1NF78XO,"Repair by decreasing size, stomach endoscopic [laparoscopic] approach using vertical banded technique"
1NF78XP,"Repair by decreasing size, stomach open approach using vertical banded technique"
1NF80BA,"Repair, stomach using endoscopic per orifice approach using apposition technique [e.g. sutures]"
1NF80BAFF,"Repair, stomach endoscopic per orifice approach using closure device [e.g. endoclip]"
1NF80DA,"Repair, stomach endoscopic [laparoscopic] approach using apposition technique [e.g. sutures]"
1NF80DAXXE,"Repair, stomach endoscopic [laparoscopic] approach using local transposition flap[e.g. omentum patch]"
1NF80DAXXN,"Repair, stomach endoscopic [laparoscopic] approach using synthetic tissue[e.g. mesh, sponge, gortex]"
1NF80LA,"Repair, stomach open approach using apposition technique [e.g. sutures]"
1NF80LAXXE,"Repair, stomach open approach using local transposition flap[e.g. omentum patch]"
1NF80LAXXN,"Repair, stomach open approach using synthetic tissue[e.g. mesh, sponge, gortex]"
1NF82DA,"Reattachment, stomach of vertical banded gastroplasty using endoscopic [laparoscopic] approach"
1NF82DQ,"Reattachment, stomach of gastroenterostomy using endoscopic [laparoscopic] approach"
1NF82LA,"Reattachment, stomach of vertical banded gastroplasty using open approach"
1NF82RJ,"Reattachment, stomach of gastroenterostomy using open approach"
1NF84LAXXG,"Construction or reconstruction, stomach using open approach with jejunum (to construct pouch)"
1NF86MB,"Closure of fistula, stomach using simple excision (with or without (suture) closure) for fistula terminating at skin [or subcutaneous tissue]"
1NF86MBXXA,"Closure of fistula, stomach using autograft [e.g. skin, fascia graft] for fistula terminating at skin [or subcutaneous tissue]"
1NF86MBXXE,"Closure of fistula, stomach using local flap [e.g. omental transposition flap] for fistula terminating at skin[or subcutaneous tissue]"
1NF86MBXXF,"Closure of fistula, stomach using free flap [e.g. free muscle or intestinal flap] for fistula terminating at skin[or subcutaneous tissue]"
1NF86MBXXG,"Closure of fistula, stomach using pedicled flap [e.g. muscle flap] for fistula terminating at skin [or subcutaneous tissue]"
1NF86ME,"Closure of fistula, stomach using simple excision (with or without (suture) closure) for fistula terminating in abdominal cavity"
1NF86MEXXA,"Closure of fistula, stomach using autograft [e.g. skin, fascia graft] for fistula terminating in abdominal cavity"
1NF86MEXXE,"Closure of fistula, stomach using local flap [e.g. omental transposition flap] for fistula terminating in abdominal cavity"
1NF86MEXXF,"Closure of fistula, stomach using free flap [e.g. free muscle or intestinal flap] for fistula terminating in abdominal cavity"
1NF86MEXXG,"Closure of fistula, stomach using pedicled flap [e.g. muscle flap] for fistula terminating in abdominal cavity"
1NF86MH,"Closure of fistula, stomach using simple excision (with or without (suture) closure) for fistula terminating in genital tract"
1NF86MHXXA,"Closure of fistula, stomach using autograft [e.g. skin, fascia graft] for fistula terminating in genital tract"
1NF86MHXXE,"Closure of fistula, stomach using local flap [e.g. omental transposition flap] for fistula terminating in genital tract"
1NF86MHXXF,"Closure of fistula, stomach using free flap [e.g. free muscle or intestinal flap] for fistula terminating in genital tract"
1NF86MHXXG,"Closure of fistula, stomach using pedicled flap [e.g. muscle flap] for fistula terminating in genital tract"
1NF86MQ,"Closure of fistula, stomach using simple excision (with or without (suture) closure) for fistula terminating in thoracic cavity"
1NF86MQXXA,"Closure of fistula, stomach using autograft [e.g. skin, fascia graft] for fistula terminating in thoracic cavity"
1NF86MQXXE,"Closure of fistula, stomach using local flap [e.g. omental transposition flap] for fistula terminating in thoracic cavity"
1NF86MQXXF,"Closure of fistula, stomach using free flap [e.g. free muscle or intestinal flap] for fistula terminating in thoracic cavity"
1NF86MQXXG,"Closure of fistula, stomach using pedicled flap [e.g. muscle flap] for fistula terminating in thoracic cavity"
1NF86MR,"Closure of fistula, stomach using simple excision (with or without (suture) closure) for fistula terminating in urinary tract"
1NF86MRXXA,"Closure of fistula, stomach using autograft [e.g. skin, fascia graft] for fistula terminating in urinary tract"
1NF86MRXXE,"Closure of fistula, stomach using local flap [e.g. omental transposition flap] for fistula terminating in urinary tract"
1NF86MRXXF,"Closure of fistula, stomach using free flap [e.g. free muscle or intestinal flap] for fistula terminating in urinary tract"
1NF86MRXXG,"Closure of fistula, stomach using pedicled flap [e.g. muscle flap] for fistula terminating in urinary tract"
1NF86MT,"Closure of fistula, stomach using simple excision (with or without (suture) closure) for fistula travelling through multiple cavities and terminating in any organ(s) or at skin"
1NF86MTXXA,"Closure of fistula, stomach using autograft [e.g. skin, fascia graft] for fistula travelling through multiple cavities and terminating in any organ(s) or at skin"
1NF86MTXXE,"Closure of fistula, stomach using local flap [e.g. omental transposition flap] for fistula travelling through multiple cavities and terminating in any organ(s) or at skin"
1NF86MTXXF,"Closure of fistula, stomach using free flap [e.g. free muscle or intestinal flap] for fistula travelling through multiple cavities and terminating in any organ(s) or at skin"
1NF86MTXXG,"Closure of fistula, stomach using pedicled flap [e.g. muscle flap] for fistula travelling through multiple cavities and terminating in any organ(s) or at skin"
1NF87BA,"Excision partial, stomach without vagotomy endoscopic per orifice approach and simple apposition technique or no closure needed for tissue regeneration [e.g. for polypectomy]"
1NF87DA,"Excision partial, stomach without vagotomy using endoscopic [laparoscopic] approach simple apposition technique or no closure needed for tissue regeneration [e.g. for polypectomy]"
1NF87DG,"Excision partial, stomach without vagotomy endoscopic [laparoscopic] approach esophagogastric anastomosis"
1NF87DH,"Excision partial, stomach without vagotomy endoscopic [laparoscopic] approach gastroduodenal anastomosis"
1NF87DJ,"Excision partial, stomach with vagotomy endoscopic [laparoscopic] approach gastroduodenal anastomosis"
1NF87DL,"Excision partial, stomach with vagotomy endoscopic [laparoscopic] approach gastrojejunal [or gastroenteral NEC] anastomosis"
1NF87DQ,"Excision partial, stomach without vagotomy endoscopic [laparoscopic] approach gastrojejunal [or gastroenteral NEC] anastomosis"
1NF87EL,"Excision partial, stomach with vagotomy endoscopic [laparoscopic] approach simple apposition technique (without anastomosis)"
1NF87GX,"Excision partial, stomach with vagotomy endoscopic [laparoscopic] approach esophagogastric anastomosis"
1NF87LA,"Excision partial, stomach open approach and simple apposition technique or no closure needed for tissue regeneration [e.g. for polypectomy]"
1NF87RG,"Excision partial, stomach without vagotomy open approach gastroduodenal anastomosis"
1NF87RH,"Excision partial, stomach with vagotomy open approach gastroduodenal anastomosis"
1NF87RJ,"Excision partial, stomach without vagotomy open approach gastrojejunal [or gastroenteral NEC] anastomosis"
1NF87RK,"Excision partial, stomach with vagotomy open approach gastrojejunal [or gastroenteral NEC] anastomosis"
1NF87RP,"Excision partial, stomach without vagotomy open approach esophagogastric anastomosis"
1NF87SH,"Excision partial, stomach with vagotomy open approach esophagogastric anastomosis"
